CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201210715565	2	227.49759	1	4	7	3	1	1	0	4	16	29	14	0	2	0	47	36	4	2001	YS3ED48EX130	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	1	12	0	0	0
201210715701	2	223.85142	1	4	4	3	1	1	0	4	20	2	14	0	2	0	37	399	4	2005	1HGCM66Z85	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210715893	2	221.36985	1	4	13	3	1	1	0	4	21	15	14	0	2	0	2	404	14	2005	1J4HR582X5C5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	1	12	0	0	0
201210715934	2	14.897799	1	3	8	3	1	1	0	4	17	30	14	0	2	0	35	399	4	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	1	12	0	0	0
201210715934	3	14.897799	1	3	8	3	1	1	0	4	17	30	14	0	2	0	99	999	99	9999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	9	9	12	0	0	0
201210716505	2	226.493712	1	4	16	3	1	1	0	5	19	30	14	0	2	0	49	40	4	1999	4T1BG22K1XU9	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	8	1	12	0	0	0
201210716525	2	223.466985	1	4	8	3	1	1	0	5	23	0	14	0	2	0	59	31	4	2010	JTHBK1EG1A23	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210716588	2	14.923428	1	3	4	3	1	1	0	5	22	4	9	0	2	0	35	47	4	1998	1N4DL01D3WC1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	1	18	0	0	0
201210716652	2	218.60058	1	4	21	3	1	1	3	5	14	10	14	0	2	0	7	43	4	2000	1B3EJ46X0YN2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	1	12	0	0	0
201210716707	2	4.974476	1	2	4	3	1	1	0	5	3	7	14	0	2	0	24	1	4	1999	1G8ZH5287XZ2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	1	12	0	0	0
201210716730	3	99.48952	1	6	4	3	1	2	0	5	16	46	12	6	2	0	12	21	4	2005	1FAFP23175G1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210716730	4	99.48952	1	6	4	3	1	2	0	5	16	46	12	6	2	0	6	52	6	2002	3C8FY68B52T3	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	8	1	12	0	0	0
201210717023	1	223.466985	1	4	8	3	1	1	0	5	15	30	14	0	2	0	49	43	4	2001	4T1BF28B11U1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210717130	3	2.4908	1	1	1	3	1	2	0	5	3	38	12	6	2	0	20	499	29	1999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210717130	4	2.4908	1	1	1	3	1	2	0	5	3	38	12	6	2	0	49	399	9	2001	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	1	12	0	0	0
201210717130	5	2.4908	1	1	1	3	1	2	0	5	3	38	12	6	2	0	12	399	9	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210717229	2	99.31866	1	6	8	3	1	1	0	6	3	48	14	0	2	0	35	443	20	1996	4N2DN11W3TD8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210717269	2	218.60058	1	4	21	3	1	1	0	5	9	35	14	0	2	0	35	43	4	2008	3N1AB61E28L7	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	1	12	0	0	0
201210717269	3	218.60058	1	4	21	3	1	1	0	5	9	35	14	0	2	0	41	50	4	2009	1YVHP81A795M	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210717513	2	7.378995	1	1	13	3	1	1	0	6	23	36	43	0	2	0	48	38	6	2012	JF1GPAG60CH2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	1	12	0	0	0
201210717552	1	227.49759	1	4	7	3	1	1	0	6	16	20	14	0	2	0	59	403	14	2010	2T2BK1BA8AC0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	0	1	12	0	0	0
201210717727	1	223.466985	1	4	8	3	1	1	0	6	17	40	14	0	2	0	37	31	2	2004	1HGEM22984L0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210717893	1	226.493712	1	4	16	3	1	1	0	6	23	5	14	0	2	0	76	706	80	2006	JYARN15E36A0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210717934	2	102.013604	1	6	21	3	1	1	0	6	0	15	14	0	2	0	35	47	4	2005	1N4AL11D75C3	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	1	8	1	12	0	0	0
201210718117	1	218.60058	1	4	21	3	1	1	0	6	13	6	14	0	2	0	49	40	4	1999	4T1BG22K8XU5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	1	12	0	0	0
201210718174	1	224.172	1	4	1	3	1	1	0	6	8	0	14	0	2	0	49	51	4	2008	JTDBT9232840	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210718397	2	43.720116	1	5	21	3	1	1	0	7	15	30	14	0	3	0	49	421	15	1991	JT3FJ80W1M00	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210718397	3	43.720116	1	5	21	3	1	1	0	7	15	30	14	0	3	0	23	441	20	1992	1GKDM19Z6NB5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210718401	2	218.60058	1	4	21	3	1	1	0	7	4	0	14	0	3	0	35	399	4	2000	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	2	1	12	0	0	0
201210718423	2	223.463504	1	4	3	3	1	1	0	7	8	0	14	0	3	0	34	399	4	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	1	12	0	0	0
201210718518	2	227.49759	1	4	7	3	1	1	0	7	20	25	14	0	3	0	52	47	6	2007	JA4MT41X27U0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210718563	2	221.36985	1	4	13	3	1	1	0	6	20	40	14	0	2	0	53	706	80	2005	JS1GW71A6521	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	8	1	12	0	0	0
201210718605	3	4.783283	1	2	10	3	1	2	0	7	16	0	12	7	2	0	35	39	4	2006	1N4BA41E46C8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	0	1	12	0	0	0
201210718791	2	223.85142	1	4	4	3	1	1	0	7	12	20	14	0	2	0	35	399	4	2010	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	8	12	0	0	0
